Customer ID,First Name,Last Name,Gender,City,Name of State/Province
11000,Jon,Yang,Male,Rockhampton,Queensland
11001,Eugene,Huang,Male,Seaford,Victoria
11002,Ruben,Torres,Male,Hobart,Tasmania
11003,Christy,Zhu,Female,North Ryde,New South Wales
11004,Elizabeth,Johnson,Female,Wollongong,New South Wales
11005,Julio,Ruiz,Male,East Brisbane,Queensland
11006,Janet,Alvarez,Female,Matraville,New South Wales
11007,Marco,Mehta,Male,Warrnambool,Victoria
11008,Rob,Verhoff,Female,Bendigo,Victoria
11009,Shannon,Carlson,Male,Hervey Bay,Queensland
11010,Jacquelyn,Suarez,Female,East Brisbane,Queensland
11011,Curtis,Lu,Male,East Brisbane,Queensland
11012,Lauren,Walker,Female,Bremerton,Washington
11013,Ian,Jenkins,Male,Lebanon,Oregon
11014,Sydney,Bennett,Female,Redmond,Washington
11015,Chloe,Young,Female,Burbank,California
11016,Wyatt,Hill,Male,Imperial Beach,California
11017,Shannon,Wang,Female,Sunbury,Victoria
11018,Clarence,Rai,Male,Bendigo,Victoria
11019,Luke,Lal,Male,Langley,British Columbia
11020,Jordan,King,Male,Metchosin,British Columbia
11021,Destiny,Wilson,Female,Beaverton,Oregon
11022,Ethan,Zhang,Male,Bellingham,Washington
11023,Seth,Edwards,Male,Bellflower,California
11024,Russell,Xie,Male,Concord,California
11025,Alejandro,Beck,Male,Hawthorne,Queensland
11026,Harold,Sai,Male,Goulburn,New South Wales
11027,Jessie,Zhao,Male,Warrnambool,Victoria
11028,Jill,Jimenez,Female,St. Leonards,New South Wales
11029,Jimmy,Moreno,Male,Bendigo,Victoria
11030,Bethany,Yuan,Female,Cloverdale,South Australia
11031,Theresa,Ramos,Female,Matraville,New South Wales
11032,Denise,Stone,Female,Melbourne,Victoria
11033,Jaime,Nath,Male,Milsons Point,New South Wales
11034,Ebony,Gonzalez,Female,North Sydney,New South Wales
11035,Wendy,Dominguez,Female,Cranbourne,Victoria
11036,Jennifer,Russell,Female,National City,California
11037,Chloe,Garcia,Female,Cliffside,British Columbia
11038,Diana,Hernandez,Female,Lavender Bay,New South Wales
11039,Marc,Martin,Male,Wollongong,New South Wales
11040,Jesse,Murphy,Male,Tacoma,Washington
11041,Amanda,Carter,Female,Glendale,California
11042,Megan,Sanchez,Female,Los Angeles,California
11043,Nathan,Simmons,Male,Glendale,California
11044,Adam,Flores,Male,Hervey Bay,Queensland
11045,Leonard,Nara,Male,Matraville,New South Wales
11046,Christine,Yuan,Female,Lavender Bay,New South Wales
11047,Jaclyn,Lu,Female,Geelong,Victoria
11048,Jeremy,Powell,Male,Sunbury,Victoria
11049,Carol,Rai,Female,Chula Vista,California
11050,Alan,Zheng,Male,Hobart,Tasmania
11051,Daniel,Johnson,Male,Caloundra,Queensland
11052,Heidi,Lopez,Female,Matraville,New South Wales
11053,Ana,Price,Female,San Diego,California
11054,Deanna,Munoz,Female,Geelong,Victoria
11055,Gilbert,Raje,Male,East Brisbane,Queensland
11056,Michele,Nath,Female,Newcastle,New South Wales
11057,Carl,Andersen,Male,Lane Cove,New South Wales
11058,Marc,Diaz,Male,Findon,South Australia
11059,Ashlee,Andersen,Female,Townsville,Queensland
11060,Jon,Zhou,Male,Warrnambool,Victoria
11061,Todd,Gao,Male,Gold Coast,Queensland
11062,Noah,Powell,Male,Portland,Oregon
11063,Angela,Murphy,Female,Redmond,Washington
11064,Chase,Reed,Male,Downey,California
11065,Jessica,Henderson,Female,La Jolla,California
11066,Grace,Butler,Female,Lebanon,Oregon
11067,Caleb,Carter,Male,Port Orchard,Washington
11068,Tiffany,Liang,Female,Warrnambool,Victoria
11069,Carolyn,Navarro,Female,Gold Coast,Queensland
11070,Willie,Raji,Male,Sunbury,Victoria
11071,Linda,Serrano,Female,Hawthorne,Queensland
11072,Casey,Luo,Female,St. Leonards,New South Wales
11073,Amy,Ye,Female,Springwood,New South Wales
11074,Levi,Arun,Male,Cloverdale,South Australia
11075,Felicia,Jimenez,Female,Bendigo,Victoria
11076,Blake,Anderson,Male,Wollongong,New South Wales
11077,Leah,Ye,Female,Melton,Victoria
11078,Gina,Martin,Female,Cliffside,British Columbia
11079,Donald,Gonzalez,Male,Geelong,Victoria
11080,Damien,Chander,Male,Perth,South Australia
11081,Savannah,Baker,Female,Concord,California
11082,Angela,Butler,Female,Fremont,California
11083,Alyssa,Cox,Female,Lincoln Acres,California
11084,Lucas,Phillips,Male,Lebanon,Oregon
11085,Emily,Johnson,Female,Newport Beach,California
11086,Ryan,Brown,Male,Santa Monica,California
11087,Tamara,Liang,Female,Chula Vista,California
11088,Hunter,Davis,Male,San Diego,California
11089,Abigail,Price,Female,Long Beach,California
11090,Trevor,Bryant,Male,Los Angeles,California
11091,Dalton,Perez,Male,Haney,British Columbia
11092,Cheryl,Diaz,Female,East Brisbane,Queensland
11093,Aimee,He,Female,Wollongong,New South Wales
11094,Cedric,Ma,Male,Cranbourne,Victoria
11095,Chad,Kumar,Male,Port Macquarie,New South Wales
11096,Andrés,Anand,Male,North Sydney,New South Wales
11097,Edwin,Nara,Male,Warrnambool,Victoria
11098,Mallory,Rubio,Female,Rhodes,New South Wales
11099,Adam,Ross,Male,Port Macquarie,New South Wales
11100,Latasha,Navarro,Female,Cloverdale,South Australia
11101,Abby,Sai,Female,Cranbourne,Victoria
11102,Julia,Nelson,Female,Sydney,New South Wales
11103,Cassie,Chande,Female,Darlinghurst,New South Wales
11104,Edgar,Sara,Male,Gold Coast,Queensland
11105,Candace,Fernandez,Female,Matraville,New South Wales
11106,Jessie,Liu,Male,Warrnambool,Victoria
11107,Bianca,Lin,Female,St. Leonards,New South Wales
11108,Kari,Alvarez,Female,Port Macquarie,New South Wales
11109,Ruben,Kapoor,Male,South Melbourne,Victoria
11110,Curtis,Yang,Male,Darlinghurst,New South Wales
11111,Meredith,Gutierrez,Female,Geelong,Victoria
11112,Crystal,Wang,Female,Hervey Bay,Queensland
11113,Micheal,Blanco,Male,Perth,South Australia
11114,Leslie,Moreno,Female,Rhodes,New South Wales
11115,Alvin,Cai,Male,St. Leonards,New South Wales
11116,Clinton,Carlson,Male,Sydney,New South Wales
11117,April,Deng,Female,Matraville,New South Wales
11118,Alvin,Zeng,Male,Lavender Bay,New South Wales
11119,Evan,James,Male,Port Macquarie,New South Wales
11120,Beth,Jiménez,Female,Sydney,New South Wales
11121,Orlando,Suarez,Male,Newcastle,New South Wales
11122,Byron,Vazquez,Male,North Sydney,New South Wales
11123,Philip,Alvarez,Male,Sunbury,Victoria
11124,Ross,Jordan,Male,Warrnambool,Victoria
11125,Dana,Navarro,Female,Seaford,Victoria
11126,Shaun,Carson,Male,North Ryde,New South Wales
11127,Jan,Edwards,Female,San Gabriel,California
11128,Samantha,Long,Female,Renton,Washington
11129,Julia,Wright,Female,Sedro Woolley,Washington
11130,Caroline,Russell,Female,Lebanon,Oregon
11131,Amanda,Rivera,Female,Haney,British Columbia
11132,Melissa,Richardson,Female,Langford,British Columbia
11133,Angela,Griffin,Female,Lake Oswego,Oregon
11134,Larry,Townsend,Male,Perth,South Australia
11135,Marcus,Harris,Male,Burlingame,California
11136,Brianna,Morgan,Female,Metchosin,British Columbia
11137,Jasmine,Taylor,Female,Spokane,Washington
11138,Lauren,Davis,Female,Glendale,California
11139,Tanya,Moreno,Female,Cloverdale,South Australia
11140,Javier,Alvarez,Male,Burbank,California
11141,Nicole,Ramirez,Female,Daly City,California
11142,Eduardo,Patterson,Male,Langford,British Columbia
11143,Jonathan,Henderson,Male,Lakewood,California
11144,Edward,Hernandez,Male,Ballard,Washington
11145,Jasmine,Coleman,Female,Beaverton,Oregon
11146,Karla,Goel,Female,Matraville,New South Wales
11147,Ernest,Wu,Male,Warrnambool,Victoria
11148,Ross,Vazquez,Male,East Brisbane,Queensland
11149,Theodore,Gill,Male,Hervey Bay,Queensland
11150,Russell,Shen,Male,Sunbury,Victoria
11151,Melinda,Gill,Female,Sydney,New South Wales
11152,James,Williams,Male,Puyallup,Washington
11153,Angela,James,Female,Renton,Washington
11154,Megan,Walker,Female,Woodburn,Oregon
11155,Hunter,Robinson,Male,Burbank,California
11156,Maria,Roberts,Female,Lakewood,California
11157,Hannah,Long,Female,Tacoma,Washington
11158,Jason,Wright,Male,San Gabriel,California
11159,Brianna,Hughes,Female,Woodland Hills,California
11160,Maurice,Tang,Male,Concord,California
11161,Emily,Wood,Female,Concord,California
11162,Chase,Cox,Male,La Jolla,California
11163,Gabriel,Wang,Male,Spring Valley,California
11164,Devin,Brooks,Male,Torrance,California
11165,Jocelyn,Alexander,Female,Oakland,California
11166,Ashley,Martinez,Female,Olympia,Washington
11167,Jasmine,Barnes,Female,Issaquah,Washington
11168,David,Rodriguez,Male,Oakland,California
11169,Bryce,Richardson,Male,Coronado,California
11170,Carol,Howard,Female,Burien,Washington
11171,Jonathan,Hill,Male,Woodland Hills,California
11172,Gabrielle,Adams,Female,Lynnwood,Washington
11173,Sarah,Thomas,Female,W. Linn,Oregon
11174,Nicholas,Robinson,Male,Los Angeles,California
11175,Luis,Wang,Male,Beverly Hills,California
11176,Mason,Roberts,Male,Haney,British Columbia
11177,Jose,Flores,Male,San Diego,California
11178,Nathan,Johnson,Male,Lakewood,California
11179,Molly,Rodriguez,Female,Beverly Hills,California
11180,April,Anand,Female,Chula Vista,California
11181,Devin,Martin,Male,Los Angeles,California
11182,Stephanie,Torres,Female,Sedro Woolley,Washington
11183,Jasmine,Lee,Female,Santa Cruz,California
11184,Meghan,Hernandez,Female,Concord,California
11185,Ashley,Henderson,Female,Metchosin,British Columbia
11186,Sarah,Price,Female,Palo Alto,California
11187,Jennifer,Cooper,Female,Burien,Washington
11188,Catherine,Morris,Female,San Gabriel,California
11189,Lawrence,Blanco,Male,Bellingham,Washington
11190,Carson,Bryant,Male,Beverly Hills,California
11191,Kristi,Perez,Female,Colma,California
11192,James,Brown,Male,Seattle,Washington
11193,Ian,Gray,Male,Woodburn,Oregon
11194,Jacqueline,Price,Female,Palo Alto,California
11195,Megan,Henderson,Female,Renton,Washington
11196,Alfredo,Romero,Male,Beaverton,Oregon
11197,Andrea,Morris,Female,Seattle,Washington
11198,Brooke,Sanders,Female,Santa Cruz,California
11199,Jacqueline,Bennett,Female,Burlingame,California
11200,Jason,Griffin,Male,Victoria,British Columbia
11201,Amanda,Foster,Female,Santa Monica,California
11202,Alexia,Price,Female,Lakewood,California
11203,Luis,Diaz,Male,Port Hammond,British Columbia
